Timestamp,What is your background in philosophy,Where in the world did most of your childhood education and upbringing take place? ,I have thoughts,I can see red,I can smell coffee,There is something it is like to see red,There is a property of what it is like to see red,There are phenomenal properties,Consciousness exists,I know what Consciousness is,Consciousness cannot be explained by Science,Consciousness can be explained by Philosophy,It is possible for a Computer to have Consciousness,Consciousness is private (someone else could not know my consciousness) ,I can imagine myself as a bat,I can know what it's like to be a bat,The smell of coffee is a private phenomenal property,I have qualia,It is possible for everything about my body and brain to be the same and for me not to have a mind,I have an intuition that Consciousness exists,There is something in common to all of my sensory experiences,Whether or not I am seeing red is a fact,There is something in common to all of my red experiences,I would describe my views on mind as
11/11/2024 14:56:21,Personal Interest (I read philosophy books and listen to philosophy podcasts),Middle East,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Slightly disagree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Dualist
11/11/2024 14:58:03,No background,"Western World (North America, EU, AUS/NZ)",Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly agree,Slightly agree,Slightly disagree,Unsure: I do not understand the question or think it is confused,Slightly agree,Strongly Disagree,Slightly agree,Slightly disagree,Unsure: I understand the question,Slightly disagree,Slightly agree,Strongly Disagree,Slightly agree,Unsure: I understand the question,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Unsure
11/11/2024 14:58:59,Formal university education in philosophy,"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly agree,Slightly agree,Strongly Disagree,Slightly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Slightly agree,Strongly agree,Strongly agree,Materialist
11/11/2024 15:02:05,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly agree,Unsure: I do not understand the question or think it is confused,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly Disagree,Strongly agree,Unsure: I do not understand the question or think it is confused,Slightly agree,Slightly agree,Materialist
11/11/2024 15:03:44,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly agree,Slightly disagree,Strongly Disagree,Strongly agree,Slightly agree,Slightly disagree,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly Disagree,Slightly agree,Strongly Disagree,Slightly agree,Slightly agree,Materialist
11/11/2024 15:06:50,Formal university education in philosophy,"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Strongly Disagree,Slightly agree,Unsure: I understand the question,Strongly Disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Materialist
11/11/2024 15:09:46,No background,"Western World (North America, EU, AUS/NZ)",Slightly agree,Slightly agree,Slightly agree,Slightly agree,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Strongly agree,Slightly disagree,Slightly agree,Unsure: I understand the question,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Unsure: I understand the question,Slightly disagree,Slightly agree,Materialist
11/11/2024 15:09:59,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Unsure: I understand the question,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Materialist
11/11/2024 15:11:59,Some formal education in philosophy (high school or otherwise),"Western World (North America, EU, AUS/NZ)",Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Strongly Disagree,Strongly agree,Slightly agree,Strongly Disagree,Slightly agree,Slightly disagree,Slightly disagree,Strongly Disagree,Strongly Disagree,Slightly agree,Slightly disagree,Strongly Disagree,Slightly agree,Illusionism 
11/11/2024 15:12:49,Some formal education in philosophy (high school or otherwise),"Western World (North America, EU, AUS/NZ)",Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Strongly agree,Slightly disagree,Slightly disagree,Unsure: I do not understand the question or think it is confused,Slightly agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Unsure: I do not understand the question or think it is confused,Strongly Disagree,,Strongly agree,Slightly disagree,Strongly agree,Materialist
11/11/2024 15:13:03,Personal Interest (I read philosophy books and listen to philosophy podcasts),"hungary (6-15), england (15-19)",Unsure: I understand the question,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Unsure: I understand the question,Strongly agree,Strongly Disagree,Unsure: I understand the question,Unsure: I understand the question,Unsure: I do not understand the question or think it is confused,Strongly agree,Unsure: I understand the question,Unsure: I understand the question,Unsure: I understand the question,Unsure: I understand the question,Unsure: I understand the question,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Unsure
11/11/2024 15:13:42,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Slightly agree,Slightly agree,Slightly agree,Strongly Disagree,Slightly agree,Strongly agree,Unsure: I understand the question,Unsure: I understand the question,Slightly disagree,Strongly Disagree,Slightly agree,Slightly agree,Slightly disagree,Unsure: I understand the question,Slightly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Slightly agree,Slightly disagree,Unsure
11/11/2024 15:13:53,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Slightly agree,Slightly agree,Slightly disagree,Strongly Disagree,Strongly Disagree,Slightly agree,Slightly disagree,Strongly Disagree,Slightly agree,Strongly agree,Slightly disagree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Unsure
11/11/2024 15:14:25,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly agree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Slightly disagree,Strongly Disagree,Slightly disagree,Slightly disagree,Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Monist
11/11/2024 15:18:02,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Slightly agree,Slightly agree,Slightly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree,Strongly Disagree,Slightly agree,Strongly Disagree,Strongly Disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,naturalistic 
11/11/2024 15:20:21,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly Disagree,Strongly Disagree,Slightly disagree,Slightly agree,Unsure: I understand the question,Strongly agree,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Unsure: I understand the question,Strongly Disagree,Unsure: I understand the question,Unsure: I understand the question,Unsure: I understand the question,Slightly agree,Unsure
11/11/2024 15:21:11,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Slightly agree,Unsure: I do not understand the question or think it is confused,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly Disagree,Strongly agree,Strongly agree,Slightly agree,Strongly Disagree,Slightly agree,Unsure: I do not understand the question or think it is confused,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Slightly disagree,Unsure: I do not understand the question or think it is confused,Slightly agree,Materialist
11/11/2024 15:25:57,Some formal education in philosophy (high school or otherwise),Middle East,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly agree,Slightly agree,Slightly agree,Slightly disagree,Strongly Disagree,Strongly agree,Slightly disagree,Slightly disagree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Unsure
11/11/2024 15:28:06,Formal university education in philosophy,South America,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question,Unsure: I understand the question,Strongly agree,Unsure: I do not understand the question or think it is confused,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly agree,Slightly agree,Unsure: I do not understand the question or think it is confused,Unsure: I understand the question,Slightly agree,Slightly agree,Slightly agree,Strongly Disagree,Unsure: I understand the question,Strongly agree,Unsure: I understand the question,Quietist
11/11/2024 15:28:06,No background,"Western World (North America, EU, AUS/NZ)",Slightly agree,Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly Disagree,Slightly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Slightly disagree,Strongly Disagree,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly Disagree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Materialist
11/11/2024 15:32:41,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Slightly disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Materialist
11/11/2024 15:32:51,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Unsure: I understand the question,Strongly agree,Slightly disagree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unsure
11/11/2024 15:33:47,Formal university education in philosophy,"Western World (North America, EU, AUS/NZ)",Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly agree,Strongly agree,Unsure: I understand the question,Strongly Disagree,Unsure: I understand the question,Unsure: I understand the question,Unsure: I do not understand the question or think it is confused,Unsure: I understand the question,Strongly Disagree,Strongly Disagree,Unsure: I understand the question,Unsure: I do not understand the question or think it is confused,Unsure: I understand the question,Strongly agree,Unsure: I understand the question,Unsure: I understand the question,Unsure: I understand the question,Monist
11/11/2024 15:34:54,Some formal education in philosophy (high school or otherwise),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Slightly disagree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Strongly agree,Strongly agree,Materialist
11/11/2024 15:35:36,Personal Interest (I read philosophy books and listen to philosophy podcasts),Middle East,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unsure: I understand the question,Unsure: I understand the question,Strongly agree,Slightly agree,Unsure: I understand the question,Slightly agree,Slightly disagree,Slightly agree,Strongly Disagree,Strongly Disagree,Slightly agree,Strongly agree,Unsure: I understand the question,Strongly Disagree,Slightly agree,Strongly agree,Strongly agree,"Non standard physcialism of the Russelian monist stripe that add in categorical (non-dispistional properties) to substances, which would play a role in explaining the seeming gap between the mental and the physical"
11/11/2024 15:36:57,Some formal education in philosophy (high school or otherwise),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly Disagree,Slightly disagree,Slightly agree,Strongly Disagree,Unsure: I understand the question,Strongly agree,Slightly disagree,Strongly Disagree,Slightly agree,Unsure: I understand the question,Slightly agree,Slightly disagree,Strongly Disagree,Slightly agree,Strongly agree,Unsure: I understand the question,Slightly agree,Slightly disagree,Strongly Disagree,Slightly agree,Materialist
11/11/2024 15:38:54,Some formal education in philosophy (high school or otherwise),"Western World (North America, EU, AUS/NZ)",Strongly agree,Slightly disagree,Slightly disagree,Unsure: I do not understand the question,Strongly agree,Strongly agree,Strongly agree,Slightly disagree,Slightly disagree,Slightly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly agree,Slightly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly Disagree,Slightly disagree,Unsure
11/11/2024 15:39:23,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly agree,Slightly disagree,Strongly Disagree,Strongly Disagree,Slightly disagree,Slightly agree,Strongly Disagree,Strongly Disagree,Slightly disagree,Unsure: I do not understand the question or think it is confused,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Slightly agree,Slightly agree,Slightly agree,Monist
11/11/2024 15:42:05,Some formal education in philosophy (high school or otherwise),"Western World (North America, EU, AUS/NZ)",Unsure: I understand the question,Unsure: I understand the question,Unsure: I understand the question,Slightly agree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Unsure: I understand the question,Unsure: I understand the question,Unsure: I understand the question,Unsure: I understand the question,Unsure: I understand the question,Slightly disagree,Slightly disagree,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Strongly agree,Unsure: I understand the question,Slightly agree,Slightly agree,Unsure: I understand the question,Slightly agree,Unsure
11/11/2024 15:43:58,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Slightly agree,Unsure: I do not understand the question or think it is confused,Strongly Disagree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Not committed to a single view at present. I do lean towards some sort of physicalism. 
11/11/2024 15:46:30,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Slightly agree,Slightly agree,Slightly disagree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Unsure: I understand the question,Strongly agree,Slightly agree,Strongly Disagree,Strongly agree,Unsure: I do not understand the question or think it is confused,Slightly disagree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Unsure
11/11/2024 15:48:06,Some formal education in philosophy (high school or otherwise),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Unsure: I understand the question,Unsure: I understand the question,Slightly agree,Unsure: I understand the question,Strongly agree,Slightly disagree,Slightly disagree,Strongly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Strongly agree,Strongly Disagree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Materialist
11/11/2024 15:50:11,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Unsure: I understand the question,Unsure: I understand the question,Slightly disagree,Slightly disagree,Slightly agree,Unsure: I understand the question,Slightly disagree,Strongly Disagree,Unsure: I understand the question,Unsure: I understand the question,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Materialist
11/11/2024 15:50:13,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Strongly Disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Strongly Disagree,Strongly Disagree,Unsure: I understand the question,Strongly Disagree,Unsure: I understand the question,Strongly Disagree,Materialist
11/11/2024 15:51:18,I am an academic full-time philosopher,Middle East,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Slightly disagree,Unsure: I understand the question,Slightly disagree,Strongly Disagree,Slightly agree,Strongly agree,Slightly agree,Dualist
11/11/2024 15:52:55,Some formal education in philosophy (high school or otherwise),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Strongly Disagree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,"None of the above (I believe panpsychism & physicalism represent a semantic, not substantive, difference)"
11/11/2024 15:53:25,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Slightly agree,Slightly agree,Slightly agree,Slightly agree,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Slightly disagree,Slightly disagree,Strongly Disagree,Unsure: I understand the question,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Strongly Disagree,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Slightly agree,Unsure: I do not understand the question or think it is confused,Slightly agree,Somewhere between materialist and quietist 
11/11/2024 15:54:27,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Unsure: I understand the question,Unsure: I understand the question,Slightly agree,Strongly agree,Slightly agree,Unsure: I do not understand the question or think it is confused,Strongly Disagree,Strongly agree,Unsure: I do not understand the question or think it is confused,Strongly Disagree,Slightly agree,Materialist
11/11/2024 15:54:53,No background,"Western World (North America, EU, AUS/NZ)",Strongly agree,Slightly agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Slightly disagree,Slightly disagree,Unsure: I understand the question,Slightly disagree,Slightly disagree,Slightly agree,Strongly agree,Slightly disagree,Unsure
11/11/2024 15:58:51,No background,"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question,Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly agree,Unsure: I understand the question,Unsure: I understand the question,Unsure: I understand the question,Strongly Disagree,Strongly agree,Strongly agree,Strongly Disagree,Slightly agree,Strongly agree,Strongly Disagree,Strongly agree,Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly agree,Idealist
11/11/2024 16:07:01,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly agree,Slightly disagree,Slightly disagree,Strongly Disagree,Slightly agree,Unsure: I do not understand the question or think it is confused,Strongly Disagree,Strongly Disagree,Unsure: I understand the question,Slightly agree,Strongly Disagree,Slightly agree,Unsure: I understand the question,Slightly agree,Slightly agree,Unsure
11/11/2024 16:07:27,Some formal education in philosophy (high school or otherwise),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Slightly agree,Strongly agree,Unsure: I understand the question,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Strongly Disagree,Slightly agree,Strongly agree,Slightly disagree,Unsure: I understand the question,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Panpsychist
11/11/2024 16:11:14,Some formal education in philosophy (high school or otherwise),Middle East,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly agree,Strongly Disagree,Slightly disagree,Strongly Disagree,Slightly agree,Slightly agree,Strongly Disagree,Slightly disagree,Slightly agree,Strongly agree,Strongly Disagree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Materialist
11/11/2024 16:11:56,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Slightly agree,Unsure: I understand the question,Slightly agree,Strongly agree,Unsure: I understand the question,Slightly disagree,Slightly agree,Unsure: I understand the question,Slightly agree,Unsure: I understand the question,Unsure: I understand the question,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Unsure
11/11/2024 16:14:52,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Slightly agree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Slightly agree,Slightly disagree,Slightly disagree,Unsure: I understand the question,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Strongly Disagree,Strongly agree,Unsure: I do not understand the question or think it is confused,Slightly agree,Strongly agree,Materialist
11/11/2024 16:15:37,Some formal education in philosophy (high school or otherwise),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Strongly Disagree,Slightly disagree,Slightly agree,Slightly agree,Strongly Disagree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Materialist
11/11/2024 16:17:32,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly agree,Slightly agree,Strongly Disagree,Unsure: I understand the question,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Topologist
11/11/2024 16:22:28,No background,Asia,Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question,Unsure: I do not understand the question or think it is confused,Unsure: I understand the question,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Strongly Disagree,Slightly disagree,Slightly agree,Unsure: I do not understand the question or think it is confused,Slightly agree,Slightly agree,Slightly agree,Unsure: I understand the question,Unsure
11/11/2024 16:23:45,Some formal education in philosophy (high school or otherwise),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Slightly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Strongly agree,Slightly agree,Strongly agree,Panpsychist
11/11/2024 16:24:30,Formal university education in philosophy,"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Strongly Disagree,Slightly disagree,Slightly agree,Slightly disagree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly Disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Materialist
11/11/2024 16:29:44,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Unsure: I understand the question,Unsure: I understand the question,Slightly agree,Unsure: I understand the question,Unsure: I understand the question,Slightly disagree,Unsure: I understand the question,Unsure: I understand the question,Slightly agree,Strongly Disagree,Strongly Disagree,Unsure: I understand the question,Strongly agree,Strongly Disagree,Unsure: I understand the question,Unsure: I understand the question,Slightly agree,Unsure: I understand the question,Materialist
11/11/2024 16:30:09,Formal university education in philosophy,"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unsure: I understand the question,Unsure: I understand the question,Strongly agree,Strongly Disagree,Slightly disagree,Slightly agree,Strongly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Unsure: I understand the question,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Materialist
11/11/2024 16:34:40,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Slightly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question or think it is confused,Strongly agree,Slightly agree,Strongly Disagree,Strongly Disagree,Strongly agree,Slightly agree,Strongly Disagree,Strongly Disagree,Slightly agree,Unsure: I do not understand the question or think it is confused,Strongly Disagree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Materialist
11/11/2024 16:38:01,Personal Interest (I read philosophy books and listen to philosophy podcasts),Asia,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Materialist
11/11/2024 16:38:53,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly agree,Slightly disagree,Strongly Disagree,Slightly disagree,Strongly agree,Slightly disagree,Strongly agree,Strongly Disagree,Slightly disagree,Slightly agree,Unsure: I understand the question,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Unsure
11/11/2024 16:40:26,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Slightly agree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Slightly agree,Slightly agree,Unsure: I understand the question,Slightly disagree,Unsure: I understand the question,Slightly agree,Slightly disagree,Slightly disagree,Unsure: I do not understand the question or think it is confused,Slightly agree,Slightly disagree,Strongly agree,Unsure: I do not understand the question or think it is confused,Slightly disagree,Strongly agree,Unsure
